horizon,condition,seed,mmstar,mathvista,mean,delta
0,Base,260721556,31.2500,26.5625,28.90625,0.00000
36,OPSD,260721556,31.2500,31.2500,31.25000,2.34375
36,OPSD,260721557,31.2500,29.6875,30.46875,1.56250
36,OPSD,260721558,31.2500,29.6875,30.46875,1.56250
36,OPSD,260721559,29.6875,29.6875,29.68750,0.78125
36,VCSD,260721556,31.2500,25.0000,28.12500,-0.78125
36,VCSD,260721557,29.6875,25.0000,27.34375,-1.56250
36,VCSD,260721558,31.2500,25.0000,28.12500,-0.78125
36,VCSD,260721559,29.6875,25.0000,27.34375,-1.56250
36,Alpha0,260721556,28.1250,26.5625,27.34375,-1.56250
36,Alpha0,260721557,31.2500,26.5625,28.90625,0.00000
36,Alpha0,260721558,29.6875,26.5625,28.12500,-0.78125
36,Alpha0,260721559,29.6875,26.5625,28.12500,-0.78125
36,Beta0,260721556,26.5625,25.0000,25.78125,-3.12500
36,Beta0,260721557,29.6875,25.0000,27.34375,-1.56250
36,Beta0,260721558,28.1250,25.0000,26.56250,-2.34375
36,Beta0,260721559,29.6875,25.0000,27.34375,-1.56250
